date,time,SFS_Reg_Uc,SFS_Meas_IfRel,SFS_Meas_UgRel,SFS_Meas_UfRel,SFS_Meas_IgRel,SFS_Meas_QRel,SFS_Meas_PRel,SFS_PSS_VSL
20.09.2015,13:40:52.6316072,1.223190588,0.620116701,0.987021513,0.467591369,0.615099765,0.002784391,0.607203581,0
20.09.2015,13:40:52.6365736,1.221581236,0.620138069,0.987076858,0.459046086,0.615327222,0.002681266,0.607203581,0
20.09.2015,13:40:52.6412928,1.206037657,0.620138069,0.987132203,0.459046086,0.615042901,0.002784391,0.607306706,0
20.09.2015,13:40:52.6460208,1.204382221,0.620116111,0.987132203,0.466177876,0.615384086,0.002887517,0.607409832,0
20.09.2015,13:40:52.6508538,1.182740611,0.620049806,0.987242893,0.455568505,0.615327222,0.002887517,0.607512958,0
20.09.2015,13:40:52.6557622,1.233526769,0.620110163,0.987021513,0.455118658,0.61544095,0.002887517,0.607512958,0
20.09.2015,13:40:52.6605080,1.164521913,0.620110163,0.987353582,0.455118658,0.615327222,0.002887517,0.607616083,0
20.09.2015,13:40:52.6652694,1.202600141,0.620143283,0.987132203,0.469827611,0.615611543,0.002784391,0.607719209,0
20.09.2015,13:40:52.6701338,1.187327613,0.620199063,0.987242893,0.445468033,0.615952728,0.002681266,0.607822334,0
20.09.2015,13:40:52.6748788,1.189965504,0.620199063,0.987187548,0.445468033,0.615725271,0.002681266,0.60792546,0
20.09.2015,13:40:52.6797204,1.183410399,0.620260504,0.987242893,0.464008727,0.61612332,0.002681266,0.608028586,0
20.09.2015,13:40:52.6845322,1.176220219,0.620212506,0.987242893,0.462084258,0.616066456,0.002681266,0.608131711,0
20.09.2015,13:40:52.6893398,1.229850396,0.620405104,0.987021513,0.466913084,0.616237049,0.002681266,0.608131711,0
20.09.2015,13:40:52.6941072,1.179034331,0.620405104,0.987242893,0.466913084,0.616009592,0.002681266,0.608131711,0
20.09.2015,13:40:52.6989262,1.224604085,0.620486303,0.987021513,0.456855531,0.616293913,0.002681266,0.608131711,0
20.09.2015,13:40:52.7037480,1.191759639,0.620532611,0.987187548,0.455441985,0.616407641,0.00257814,0.608131711,0
20.09.2015,13:40:52.7084164,1.237581343,0.620350536,0.986966168,0.459086449,0.616180184,0.002681266,0.608234837,0
20.09.2015,13:40:52.7133742,1.211257837,0.620350536,0.987132203,0.459086449,0.616293913,0.002681266,0.608234837,0
20.09.2015,13:40:52.7180810,1.2135144,0.620133652,0.987076858,0.467433699,0.616180184,0.002784391,0.608234837,0
20.09.2015,13:40:52.7229472,1.247712723,0.620114707,0.986966168,0.454876162,0.616350777,0.002784391,0.608131711,0
20.09.2015,13:40:52.7276358,1.21990902,0.620114707,0.987076858,0.454876162,0.615952728,0.002887517,0.608131711,0
20.09.2015,13:40:52.7325776,1.241293879,0.62007347,0.986966168,0.460323315,0.616293913,0.002784391,0.608131711,0
20.09.2015,13:40:52.7372236,1.215587676,0.620048786,0.987076858,0.453364957,0.616293913,0.002784391,0.608234837,0
20.09.2015,13:40:52.7421384,1.262467882,0.620160234,0.986855478,0.477947648,0.616237049,0.002784391,0.608234837,0
20.09.2015,13:40:52.7468184,1.20611405,0.620160234,0.987132203,0.477947648,0.616293913,0.002784391,0.608337962,0
20.09.2015,13:40:52.7517776,1.228596159,0.620195156,0.986966168,0.467942812,0.616350777,0.002887517,0.608441088,0
20.09.2015,13:40:52.7564810,1.226884024,0.620270933,0.987021513,0.445517235,0.616464505,0.002784391,0.608337962,0
20.09.2015,13:40:52.7613260,1.220172842,0.620270933,0.987021513,0.445517235,0.61612332,0.002887517,0.608337962,0
20.09.2015,13:40:52.7661076,1.218693968,0.620316874,0.987021513,0.46810799,0.616407641,0.002784391,0.608337962,0
20.09.2015,13:40:52.7708930,1.190002958,0.620394755,0.987132203,0.458474938,0.616350777,0.002784391,0.608441088,0
20.09.2015,13:40:52.7757476,1.239124515,0.620605246,0.986910823,0.456626348,0.616464505,0.002784391,0.608441088,0
20.09.2015,13:40:52.7805188,1.178235981,0.620605246,0.987187548,0.456626348,0.616293913,0.002887517,0.608544214,0
