date,time,SFS_Reg_Uc,SFS_Meas_IfRel,SFS_Meas_UgRel,SFS_Meas_UfRel,SFS_Meas_IgRel,SFS_Meas_QRel,SFS_Meas_PRel
20.09.2015,13:55:20.1260294,0.945434777,0.513064593,0.986523408,0.385501957,0.076596042,0.010828189,0.074559815
20.09.2015,13:55:20.1309680,1.002162008,0.513064593,0.986246684,0.385501957,0.077278412,0.010828189,0.075075443
20.09.2015,13:55:20.1356752,0.969935405,0.513106644,0.986412719,0.3878595,0.077619597,0.010828189,0.07538482
20.09.2015,13:55:20.1405316,0.989769003,0.513228728,0.986302029,0.370979694,0.077676461,0.010931314,0.075694196
20.09.2015,13:55:20.1452964,0.966212173,0.513077016,0.986412719,0.392301953,0.078017646,0.010828189,0.076003573
20.09.2015,13:55:20.1501436,0.959370894,0.513077016,0.986412719,0.392301953,0.078301967,0.010725063,0.076209824
20.09.2015,13:55:20.1549372,1.018760864,0.513197362,0.986191339,0.387717485,0.078358831,0.010621938,0.07631295
20.09.2015,13:55:20.1596990,0.949657704,0.513274191,0.986468064,0.382999044,0.078415695,0.010621938,0.076519201
20.09.2015,13:55:20.1645384,0.999651374,0.513385432,0.986246684,0.384278296,0.07875688,0.010621938,0.076622327
20.09.2015,13:55:20.1692800,0.963107546,0.513385432,0.986412719,0.384278296,0.078813745,0.010621938,0.076725452
20.09.2015,13:55:20.1741964,1.028262839,0.51343992,0.986135994,0.380246766,0.078643152,0.010725063,0.076725452
20.09.2015,13:55:20.1788940,0.969526272,0.513223115,0.986412719,0.383262626,0.07875688,0.010621938,0.076725452
20.09.2015,13:55:20.1837332,1.001142165,0.513223115,0.986246684,0.383262626,0.078870609,0.010518812,0.076725452
20.09.2015,13:55:20.1884554,1.021384237,0.513064864,0.986191339,0.387257255,0.078927473,0.010518812,0.076725452
20.09.2015,13:55:20.1933248,0.997529829,0.512896623,0.986302029,0.374309099,0.078870609,0.010415686,0.076931704
20.09.2015,13:55:20.1980962,1.022185124,0.512786881,0.986191339,0.379811509,0.079211794,0.010415686,0.077034829
20.09.2015,13:55:20.2029402,0.997104945,0.512786881,0.986302029,0.379811509,0.079268658,0.010415686,0.07724108
20.09.2015,13:55:20.2077320,1.064028265,0.512809365,0.986025304,0.379375667,0.079211794,0.010415686,0.07724108
